-0.3291,-317,-0.8583,-3.8256,-1.0,-0.4853,0.120833,1
0.3056,303,0.8531,2.1747,1.0,0.4291,0.87611,1
0.2792,287,0.7646,-0.1272,1.0,0.3539,0.872921,1
1.3272,375,4.9738,2.1834,0.9459,2.3457,0.933249,1
-1.3158,-363,-5.3272,-0.9256,-0.8919,-2.3121,0.0697049,0
0.219,183,0.7201,1.2902,0.3846,0.39,0.677713,1
0.2104,153,0.6951,0.1776,0.3462,0.3708,0.669683,1
-0.9266,-467,-2.704,-6.8362,-1.0,-2.1063,0.0855283,0
0.9112,461,2.7673,5.5859,1.0,2.0624,0.912273,1
0.627,59,3.0556,2.0156,0.1556,0.276,0.570438,1
-0.5,-11,-2.9423,-0.7812,-0.1111,0.1301,0.54047,0
-0.5765,-28,-1.3597,1.5285,0.125,-1.2352,0.285477,0
0.675,90,1.4333,1.6902,0.0,1.4352,0.770186,0
-0.6705,-46,-1.3742,2.057,0.125,-1.3528,0.249744,0
0.1749,406,0.673,8.541,1.0,0.0736,0.760989,1
0.1258,396,0.6375,7.2176,1.0,-0.0464,0.748864,1
0.5376,335,4.4982,5.9297,0.4,1.191,0.856225,1
-0.3333,-321,-4.2083,-3.6797,-0.3333,-1.0148,0.165647,0
0.3222,68,0.3103,0.0578,0.2075,0.3993,0.539513,1
0.2936,22,0.3704,-2.2254,0.1698,0.3347,0.521244,1
-0.1813,-49,-0.8795,2.1303,-0.1429,-0.2759,0.358412,0
-0.2261,-115,-0.9587,0.7284,-0.1905,-0.2674,0.337614,1
0.2567,189,1.0257,1.0754,0.2381,0.3221,0.683676,0
-0.3152,20,-0.8016,1.8455,-0.1429,-0.3799,0.330656,0
0.3587,34,0.8466,-0.3072,0.2143,0.4715,0.699021,0
0.2947,-18,0.7053,-2.691,0.1429,0.3535,0.684956,1
-0.7424,89,-2.6392,2.0434,-0.7838,-1.5155,0.257773,1
0.7551,-45,2.6834,0.0936,0.8378,1.5508,0.760957,0
-0.1972,-349,-0.8447,-6.1823,-1.0,-0.4226,0.145592,0
-0.1883,-337,-0.862,-4.5001,-1.0,-0.4068,0.148377,0
-0.1746,123,-0.8762,0.1163,-0.1667,-0.6641,0.457797,1
0.2131,-85,1.0385,1.9479,0.2,0.7067,0.563915,0
0.467,189,1.2467,2.4216,0.4118,0.8865,0.731124,1
0.4739,161,1.1915,1.4057,0.3529,0.8235,0.704458,1
0.0153,278,0.9648,5.0264,0.0,0.1187,0.712271,1
0.0325,-260,-0.8734,-3.873,0.0909,0.0032,0.308056,0
-0.6088,105,-1.4769,0.3047,-0.1304,-0.9332,0.457401,1
-0.7744,65,-1.7897,-3.5703,-0.2174,-1.2077,0.37388,1
0.531,275,2.099,4.5038,1.0,1.1058,0.876658,1
-0.5181,-257,-2.0508,-3.1432,-1.0,-1.0661,0.125749,0
0.2252,66,0.3204,-0.7665,0.8667,0.6683,0.709545,0
-0.2357,-134,-0.351,-2.1018,-1.0,-0.7127,0.271117,1
0.1322,-32,0.79,1.406,0.0,-0.0564,0.423401,0
-0.1268,96,-0.7069,1.0705,1.0,0.0885,0.596115,0
0.1515,-54,0.647,1.8121,0.0,-0.0488,0.417917,0
-1.3692,-67,-4.2631,-3.3074,-0.5349,-2.5799,0.0926419,0
-1.5754,-135,-4.5269,-9.0574,-0.5814,-2.9368,0.0408533,1
1.4495,99,4.447,7.6148,0.5349,2.6755,0.956574,1
1.211,100,1.5698,4.8652,0.0323,1.6488,0.842517,0
-0.9569,-58,-1.3039,-3.2305,0.0323,-1.7367,0.18657,0
-0.0179,-105,-0.7202,-0.0176,-0.0233,-1.2005,0.281713,0
-0.1857,65,0.5714,-2.2324,-0.0233,0.8616,0.663901,1
0.2522,138,0.7484,4.2811,1.0,0.3573,0.652985,1
-0.2505,-102,-0.746,-2.4756,-0.875,-0.349,0.355821,0
0.5378,109,1.4246,6.9193,1.0,0.4728,0.647709,0
-0.5202,-69,-1.4047,-5.3083,-1.0,-0.4556,0.364211,0
0.5293,23,1.3865,3.0864,1.0,0.426,0.623289,1
-0.1058,65,-0.0008,7.22,1.0,-0.1156,0.446179,0
0.1143,-17,0.0237,-5.2669,-1.0,0.1322,0.568655,0
-0.1187,-39,-0.0341,2.3609,0.0,-0.1408,0.416162,1
0.0945,182,1.822,6.2815,0.0,-0.0839,0.702334,1
-0.0196,152,1.9412,4.68,-0.0435,-0.3383,0.657582,1
0.5457,251,1.0909,4.7929,1.0,0.6219,0.82643,1
0.3523,5,-1.0455,-0.375,0.0244,-0.355,0.493757,0
0.75,71,-0.425,0.75,0.0909,1.8948,0.698041,0
0.6345,112,0.0552,-0.168,0.3793,0.9504,0.605567,1
0.499,221,0.9462,0.1124,0.4706,0.6236,0.784057,0
0.4405,-44,-1.1845,0.9258,-0.027,0.138,0.432388,0
-0.0063,102,0.2545,-2.2715,0.6667,0.1105,0.669743,1
0.002,-176,-0.2633,0.3281,-0.7778,-0.1213,0.31461,1
-0.2271,-212,-1.1682,-10.9906,-0.6842,-1.0439,0.332748,0
-0.1506,18,-0.4425,0.5622,0.8824,-0.4946,0.462921,0
-0.1146,-87,-2.6265,-2.2075,-0.0811,-0.2772,0.377312,1
